"CN","LON","LAT"
"304208018489998",-74.552709,41.010156
"304207994489998",-74.591133,40.771003
"304207995489998",-74.58319,40.820952
"304208002489998",-74.662443,40.780342
"304207975489998",-74.684678,40.829227
"304208104489998",-74.743271,40.918833
"304208025489998",-74.726589,40.75463
"304207913489998",-74.235786,40.084438
"304207813489998",-74.342207,39.942083
"304207887489998",-74.235523,39.778299
"304207968489998",-74.275412,40.058044
"304207817489998",-74.379708,39.878896
"304207889489998",-74.374257,39.666924
"304207943489998",-74.410493,40.095661
"304207945489998",-74.488068,39.991346
"304207969489998",-74.234727,39.816574
"304207966489998",-74.121393,39.959642
"304207944489998",-74.442599,40.024462
"304207967489998",-74.147994,39.970455
"304207890489998",-74.389132,39.553969
"304207886489998",-74.144293,39.720502
"304207874489998",-74.260903,39.573834
"304208105489998",-74.153917,39.798658
"304208036489998",-73.985933,40.081257
"304208039489998",-74.128359,39.980513
"304208030489998",-74.280593,39.953867
"304208031489998",-74.185269,39.904573
"304208032489998",-74.186473,39.830066
"304208033489998",-74.304967,39.892611
"304208060489998",-74.129041,39.77583
"304208082489998",-74.285782,39.728524
"304208090489998",-74.338409,39.846006
"304208124489998",-74.333656,39.594317
"304208042489998",-74.279328,39.50566
"304208100489998",-74.226214,40.060843
"304208057489998",-74.34694,40.132054
"304208070489998",-74.377473,40.085301
"304208078489998",-74.454737,40.043941
"304208085489998",-74.326285,39.984453
"304208086489998",-74.414441,39.941238
"304208110489998",-74.477123,39.944864
"304207852489998",-74.327878,41.018506
"304207959489998",-74.210413,40.911768
"304207819489998",-74.186507,40.970981
"304207854489998",-74.44132,41.107314
"304207851489998",-74.302067,41.110413
"304208098489998",-74.243508,40.942785
"304207987489998",-74.357812,41.107882
"304208023489998",-74.34398,41.046355
"304208001489998",-74.347257,41.022822
"304207821489998",-75.481553,39.47015
"304207846489998",-75.268029,39.639511
"304207847489998",-75.308283,39.521643
"304207843489998",-75.221386,39.593234
"304207848489998",-75.364241,39.608686
"304207898489998",-75.251758,39.559112
